Seconds,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9
64.25,82.17,74.95,80.78,71.06,70.23,74.56,58.9,69.84,76.95
64.5,82.51,74.95,83.78,71.17,70.34,75.67,59.06,70.06,76.62
64.75,82.84,74.95,86.4,71.28,70.51,77.45,59.4,70.01,76.34
65,82.9,74.9,89.17,71.17,70.73,79.23,59.84,70.45,76.06
65.25,83.23,75.01,92.67,71.34,70.84,79.95,60.06,70.51,75.9
65.5,83.06,74.95,94.67,71.34,70.95,78.67,60.34,70.67,75.78
65.75,83.01,74.95,94.45,71.45,71.01,77.12,60.73,70.78,75.62
66,82.9,75.06,93.12,71.56,71.12,75.95,60.9,70.9,75.45
66.25,83.01,75.12,91.01,71.62,71.34,75.06,61.23,70.9,75.45
66.5,83.12,75.12,88.9,71.73,71.67,74.56,61.56,70.78,75.4
66.75,83.28,75.12,87.9,71.95,71.84,74.28,61.73,71.01,75.28
67,83.51,75.28,88.01,72.06,72.12,74.28,62.01,71.12,75.28
67.25,83.73,75.28,87.73,72.17,72.34,74.45,62.28,71.28,75.28
67.5,83.78,75.45,87.45,72.23,72.56,74.45,63.12,71.28,75.34
67.75,83.78,75.45,86.9,72.28,72.67,74.56,63.01,71.23,75.28
68,83.9,75.51,86.28,72.45,72.78,74.67,63.51,71.28,75.4
68.25,83.9,75.62,85.84,72.56,72.95,74.9,63.4,71.45,75.28
68.5,83.95,75.62,85.23,72.67,72.9,75.17,63.67,71.45,75.34
68.75,84.12,75.62,85.34,72.73,72.9,76.01,63.67,71.56,75.45
69,84.56,75.73,87.9,72.78,72.95,77.12,64.01,71.56,75.34
69.25,85.01,75.78,90.84,72.95,72.95,78.06,64.12,71.95,75.45
69.5,85.4,75.84,93.01,73.01,73.01,78.45,64.34,71.95,75.67
69.75,85.78,75.78,95.95,73.12,73.01,78.12,64.28,72.01,75.78
70,86.12,75.95,97.95,73.23,73.17,77.62,64.4,72.23,75.9
70.25,86.17,76.01,98.56,73.28,73.23,76.78,64.67,72.45,76.4
70.5,86.28,76.06,97.45,73.4,73.45,76.67,64.56,72.23,77.01
70.75,86.28,76.23,95.56,73.67,73.67,76.95,64.62,72.12,77.67
71,86.23,76.34,93.73,73.78,73.9,77.51,64.62,72.45,78.62
71.25,86.12,76.45,92.17,73.95,74.12,78.23,64.62,72.4,79.51
71.5,86.06,76.56,90.73,74.06,74.23,79.23,64.78,72.67,80.51
71.75,86.01,76.62,89.45,74.23,74.34,81.12,64.95,72.56,81.28
72,85.95,76.67,88.17,74.45,74.56,83.95,64.95,72.67,82.23
72.25,85.95,76.78,86.9,74.56,74.62,85.51,65.34,72.78,82.17
72.5,85.95,76.78,85.9,74.78,74.95,85.23,65.73,72.95,81.28
72.75,85.95,76.9,85.34,74.95,75.12,82.4,65.78,73.01,80.78
73,86.28,77.06,85.9,74.95,75.17,80.95,66.06,73.12,81.06
73.25,86.78,77.17,87.12,75.12,75.34,79.95,65.95,73.28,81.67
73.5,87.23,77.34,88.78,75.23,75.62,79.62,65.95,73.95,82.67
73.75,87.67,77.51,90.4,75.4,75.9,79.45,66.01,74.28,83.73
74,88.06,77.73,90.56,75.45,76.23,80.01,65.9,74.45,84.45
74.25,88.23,77.9,91.06,75.67,76.34,80.62,65.67,74.45,84.4
74.5,88.56,78.12,90.78,75.78,76.56,81.34,65.62,74.12,83.06
74.75,88.73,78.4,90.84,76.01,76.78,81.67,65.78,74.12,82.34
75,88.73,78.51,91.06,76.06,76.84,81.9,65.95,74.45,82.12
75.25,88.73,78.73,91.67,76.28,77.01,82.17,65.73,74.23,82.28
75.5,88.62,78.95,91.06,76.4,77.01,81.4,65.78,74.4,82.67
75.75,88.45,79.06,90.4,76.56,77.01,80.84,65.78,74.84,83.23
